,,,,,,,,,,From file,E:\GRS_data\full_epoch_I_resum_2010_02_25\csv_files_2010_04_28\elements\Fe\2010_05_28\2010_04_28_5x5_for_corrections_Fe_WM_newfit_conc_CapCor2_SmB10_Masked.img
,,,,,,,,,,,E:\GRS_data\full_epoch_I_resum_2010_02_25\csv_files_2010_04_28\elements\Fe\2010_05_28\2010_04_28_5x5_for_corrections_Fe_WM_newfit_sigma_CapCor2_SmB10_Masked.img


,Latitude,Longitude,,Concentration,Sigma
,-47.5000,352.5000,,9.69915199279785160000,0.59069597721099854000
,-47.5000,357.5000,,10.29244518280029300000,0.61219346523284912000
,-42.5000,2.5000,,11.07803821563720700000,0.58395403623580933000
,-42.5000,7.5000,,11.41741180419921900000,0.59708428382873535000
,-42.5000,12.5000,,11.53261470794677700000,0.58945173025131226000
,-42.5000,17.5000,,11.32227897644043000000,0.57269108295440674000
,-42.5000,22.5000,,11.09308910369873000000,0.57264804840087891000
,-42.5000,27.5000,,11.29569435119628900000,0.60237824916839600000
,-42.5000,32.5000,,11.60018825531005900000,0.63821023702621460000
,-42.5000,37.5000,,11.72065830230712900000,0.67335116863250732000
,-42.5000,42.5000,,11.83812522888183600000,0.72239583730697632000
,-42.5000,47.5000,,12.26629257202148400000,0.79533213376998901000
,-42.5000,52.5000,,12.39100170135498000000,0.85093367099761963000
,-42.5000,57.5000,,12.73939132690429700000,0.92469644546508789000
,-42.5000,62.5000,,13.37283039093017600000,1.00612330436706540000
,-42.5000,67.5000,,14.27712535858154300000,1.10793244838714600000
,-42.5000,72.5000,,14.45907115936279300000,1.14735424518585210000
,-42.5000,77.5000,,14.31791305541992200000,1.13323652744293210000
,-42.5000,82.5000,,13.94998168945312500000,1.08857452869415280000
,-42.5000,87.5000,,13.23232746124267600000,1.00470411777496340000
,-42.5000,92.5000,,12.50812339782714800000,0.90384125709533691000
,-42.5000,97.5000,,12.31052112579345700000,0.84667754173278809000
,-42.5000,102.5000,,12.18352222442627000000,0.80810016393661499000
,-42.5000,107.5000,,12.19269371032714800000,0.77836108207702637000
,-42.5000,112.5000,,12.13761901855468700000,0.76059848070144653000
,-42.5000,117.5000,,12.23944473266601600000,0.76172405481338501000
,-42.5000,122.5000,,11.64843940734863300000,0.71630889177322388000
,-42.5000,127.5000,,11.61590957641601600000,0.71313697099685669000
,-42.5000,132.5000,,11.94861507415771500000,0.73165977001190186000
,-42.5000,137.5000,,12.09874916076660200000,0.73226451873779297000
,-42.5000,142.5000,,12.30255985260009800000,0.74139457941055298000
,-42.5000,147.5000,,12.13571739196777300000,0.72651147842407227000
,-42.5000,152.5000,,11.75055313110351600000,0.70652258396148682000
,-42.5000,157.5000,,11.52074241638183600000,0.69790810346603394000
,-42.5000,162.5000,,11.72365283966064500000,0.71403700113296509000
,-42.5000,167.5000,,11.56156635284423800000,0.70453965663909912000
,-42.5000,172.5000,,11.43107700347900400000,0.68068820238113403000
,-42.5000,177.5000,,11.61727428436279300000,0.68004870414733887000
,-42.5000,182.5000,,11.62233448028564500000,0.67440778017044067000
,-42.5000,187.5000,,11.66626930236816400000,0.66927731037139893000
,-42.5000,192.5000,,11.67791175842285200000,0.66497796773910522000
,-42.5000,197.5000,,11.67151451110839800000,0.66185754537582397000
,-42.5000,202.5000,,11.79229450225830100000,0.65047371387481689000
,-42.5000,207.5000,,11.72577571868896500000,0.62311285734176636000
,-42.5000,212.5000,,11.93550205230712900000,0.62097430229187012000
